160
2004 08 19 2.499133
2004 08 20 2.697639
2004 08 23 2.724787
2004 08 24 2.611960
2004 08 25 2.640104
2004 08 26 2.687676
2004 08 27 2.643840
2004 08 30 2.540727
2004 08 31 2.549693
2004 09 01 2.496891
2004 09 02 2.528273
2004 09 03 2.490913
2004 09 07 2.530017
2004 09 08 2.547950
2004 09 09 2.548199
2004 09 10 2.623417
2004 09 13 2.677464
2004 09 14 2.776842
2004 09 15 2.789544
2004 09 16 2.838610
2004 09 17 2.926282
2004 09 20 2.972857
2004 09 21 2.934999
2004 09 22 2.948448
2004 09 23 3.009221
2004 09 24 2.984563
2004 09 27 2.945460
2004 09 28 3.159657
2004 09 29 3.264763
2004 09 30 3.227901
2004 10 01 3.302123
2004 10 04 3.363891
2004 10 05 3.446332
2004 10 06 3.414203
2004 10 07 3.458287
2004 10 08 3.430392
2004 10 11 3.368873
2004 10 12 3.422173
2004 10 13 3.509346
2004 10 14 3.536743
2004 10 15 3.589296
2004 10 18 3.715075
2004 10 19 3.684689
2004 10 20 3.499134
2004 10 21 3.720554
2004 10 22 4.294653
2004 10 25 4.667505
2004 10 26 4.528028
2004 10 27 4.631889
2004 10 28 4.814454
2004 10 29 4.748203
2004 11 01 4.882449
2004 11 02 4.853558
2004 11 03 4.773856
2004 11 04 4.600257
2004 11 05 4.217940
2004 11 08 4.297641
2004 11 09 4.201751
2004 11 10 4.180829
2004 11 11 4.558414
2004 11 12 4.533009
2004 11 15 4.604491
2004 11 16 4.297392
2004 11 17 4.296396
2004 11 18 4.172859
2004 11 19 4.219185
2004 11 22 4.112087
2004 11 23 4.172361
2004 11 24 4.352685
2004 11 26 4.468003
2004 11 29 4.509348
2004 11 30 4.532511
2004 12 01 4.482200
2004 12 02 4.468252
2004 12 03 4.493159
2004 12 06 4.390792
2004 12 07 4.269746
2004 12 08 4.233631
2004 12 09 4.319559
2004 12 10 4.275225
2004 12 13 4.245337
2004 12 14 4.450568
2004 12 15 4.477716
2004 12 16 4.395275
2004 12 17 4.485188
2004 12 20 4.608227
2004 12 21 4.576596
2004 12 22 4.640108
2004 12 23 4.679958
2004 12 27 4.779834
2004 12 28 4.801005
2004 12 29 4.804492
2004 12 30 4.921553
2004 12 31 4.801752
2005 01 03 5.048826
2005 01 04 4.844342
2005 01 05 4.819685
2005 01 06 4.696148
2005 01 07 4.828153
2005 01 10 4.858290
2005 01 11 4.820432
2005 01 12 4.866260
2005 01 13 4.865015
2005 01 14 4.980582
2005 01 18 5.078465
2005 01 19 4.914081
2005 01 20 4.829896
2005 01 21 4.689423
2005 01 24 4.501129
2005 01 25 4.411465
2005 01 26 4.713333
2005 01 27 4.684442
2005 01 28 4.740731
2005 01 31 4.872238
2005 02 01 4.779585
2005 02 02 5.129772
2005 02 03 5.251815
2005 02 04 5.089922
2005 02 07 4.882449
2005 02 08 4.947456
2005 02 09 4.771615
2005 02 10 4.681951
2005 02 11 4.667505
2005 02 14 4.806733
2005 02 15 4.862524
2005 02 16 4.941727
2005 02 17 4.929025
2005 02 18 4.930270
2005 02 22 4.766384
2005 02 23 4.830644
2005 02 24 4.704616
2005 02 25 4.629398
2005 02 28 4.682200
2005 03 01 4.634130
2005 03 02 4.612212
2005 03 03 4.657791
2005 03 04 4.630145
2005 03 07 4.702623
2005 03 08 4.612710
2005 03 09 4.516820
2005 03 10 4.482698
2005 03 11 4.428401
2005 03 14 4.358414
2005 03 15 4.448576
2005 03 16 4.373607
2005 03 17 4.465512
2005 03 18 4.484192
2005 03 21 4.505114
2005 03 22 4.448327
2005 03 23 4.457791
2005 03 24 4.464516
2005 03 28 4.518563
2005 03 29 4.472486
2005 03 30 4.494404
2005 03 31 4.495898
2005 04 01 4.484192
2005 04 04 4.614952
2005 04 05 4.696646
2005 04 06 4.712835
2005 04 07 4.825911
